occID,occ_nm,occ_ctg,occ_grp
340,KNITTING MILL WORKER,Processing of fibrous materials,"Leather, textiles, garments"
341,LAB,"Private activity and service; servants, day laborers",Estate and household labor
342,LABORER,"Private activity and service; servants, day laborers",Estate and household labor
343,LACE MAKER,Processing of fibrous materials,"Leather, textiles, garments"
344,LADY,"Subsisting on income from capital, real estate or funds from parents and relatives",No occupation
345,LADY'S MAID,"Private activity and service; servants, day laborers",Estate and household labor
346,LAMP LIGHTER,"Public (rural, urban) and estates service",Government
347,LAMP MAKER,Processing of metals,Manufacturing and mining
348,"LAND OWNER, LAND PROPRIETER","Subsisting on income from capital, real estate or funds from parents and relatives",No occupation
349,LAND SERVANT,"Private activity and service; servants, day laborers",Estate and household labor
350,LANDLORD,"Subsisting on income from capital, real estate or funds from parents and relatives",No occupation
351,LAPPER,Processing of fibrous materials,"Leather, textiles, garments"
352,LAST MAKER,Garment making,"Leather, textiles, garments"
353,"LAUNDRYMAID, LAUNDRY WOMAN",Establishments providing bathing and personal hygiene services,Service and hospitality
354,LAWYER,Private legal services,Service and hospitality
355,LEATHER CUTTER,Processing of animal products,"Leather, textiles, garments"
356,LEATHER DEALER,"Trade in leather, fur, etc.",Trade and commerce
357,LEATHER DRESSER,Processing of animal products,"Leather, textiles, garments"
358,LEATHER MANUFACTURER,Processing of animal products,"Leather, textiles, garments"
359,"LENDER, BACKER",Credit and public commercial institutions,Trade and commerce
360,LETTER CUTTER,Printing,Printing and journalism
361,LINEN MAKER/MANUFACTURER,Processing of fibrous materials,"Leather, textiles, garments"
362,LINEN MERCHANT,Trade in other agricultural products,Trade and commerce
363,LINEN WORKER,Processing of fibrous materials,"Leather, textiles, garments"
364,LITHOGRAPHER,Printing,Printing and journalism
365,LOCKSMITH,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining
366,MACHINE MAKER,Processing of metals,Manufacturing and mining
367,MACHINIST TAILOR,Processing of fibrous materials,"Leather, textiles, garments"
368,"MACHINIST, MACHINE OPERATOR",Processing of metals,Manufacturing and mining
369,MAID SERVANT,"Private activity and service; servants, day laborers",Estate and household labor
370,MALTSTER,Other beverages and fermented substances,Production of food and drink
371,MANAGER,"Administration, courts and police",Government
372,MANGLER,Processing of animal products,"Leather, textiles, garments"
373,MANSERVANT,"Private activity and service; servants, day laborers",Estate and household labor
374,MANTLE MAKER,Garment making,"Leather, textiles, garments"
375,MANUFACTURER,Manufacture not included in above or undetermined,Manufacturing and mining
376,MARBLE MERCHANT,Trade in construction materials and fuels,Trade and commerce
377,MARBLE WORKER,"Construction, repair and maintenance of residences and general construction work",Construction
378,"MARINER, MARINE",Water transport,Transportation and communication
379,MARRIER,Undetermined,NA
380,MASON,"Construction, repair and maintenance of residences and general construction work",Construction
381,MASTER,Manufacture not included in above or undetermined,Manufacturing and mining
382,MATCHMAKER,Production of chemicals and related production,Manufacturing and mining
383,MATRON,Medical and health services,Service and hospitality
384,"MATTRESS MAKER, MATMAKER",Manufacture not included in above or undetermined,Manufacturing and mining
385,MAYOR,"Administration, courts and police",Government
386,MCHR,Undetermined,NA
387,MEALER,Agriculture,Agriculture
388,MECHANIC,Manufacture not included in above or undetermined,Manufacturing and mining
389,MEDICAL STUDENT,Medical and health services,Service and hospitality
390,MERCHANT,Trade overall,Trade and commerce
391,METAL MOLDER,Processing of metals,Manufacturing and mining
392,METAL WORKER,Processing of metals,Manufacturing and mining
393,MIDWIFE,Medical and health services,Service and hospitality
394,MILITARY,Armed forces,Government
395,MILK MAN / WOMAN,Livestock farming,Agriculture
396,MILL HAND,Processing of plant and animal food products,Production of food and drink
397,MILL WORKER,Processing of plant and animal food products,Production of food and drink
398,MILLER,Processing of plant and animal food products,Production of food and drink
399,MILLINER,Trade in fabrics and garments,Trade and commerce
400,MILLWRIGHT,Manufacture not included in above or undetermined,Manufacturing and mining
401,MINER,Mining and quarrying,Manufacturing and mining
402,MINISTER,Ministry in other Christian faiths,Faith-related
403,MISSIONARY,"Officials at churches, mosques, synagogues, prayer houses, cemetaries, etc., their servants and caretakers",Faith-related
404,MODEL BUILDER/MAKER,Manufacture not included in above or undetermined,Manufacturing and mining
405,MONK,Ministry in other Christian faiths,Faith-related
406,MOULDER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining
407,MUSIC MASTER,"Science, literature, and art","Arts, entertainment, sports"
408,MUSICIAN,"Science, literature, and art","Arts, entertainment, sports"
409,NAILER,Processing of metals,Manufacturing and mining
410,NAILSMITH,Processing of metals,Manufacturing and mining
411,NATURALIST,"Science, literature, and art","Education, sciences"
412,NAVY,Armed forces,Government
413,NEEDLE MAKER/MANUFACTURER,Processing of metals,Manufacturing and mining
414,NEWSPAPER MAN,"Science, literature, and art",Printing and journalism
415,NEWSPAPER REPORTER,"Science, literature, and art",Printing and journalism
416,NOBLEMAN,Member of privileged class,No occupation
417,NONE,Unemployeed,No occupation
418,NOTARY PUBLIC,"Administration, courts and police",Government
419,"NURSE, SICK NURSE",Medical and health services,Service and hospitality
420,OFFICER,Armed forces,Government
421,OPERA SINGER,"Science, literature, and art","Arts, entertainment, sports"
422,OPERATIVE,Manufacture not included in above or undetermined,Manufacturing and mining
423,OPTICIAN,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining
424,ORGAN BUILDER/MAKER,"Science, literature, and art","Arts, entertainment, sports"
425,ORGANIST,"Science, literature, and art","Arts, entertainment, sports"
426,OUTFITTER,Trade in fabrics and garments,Trade and commerce
427,PACKER,Undetermined,NA
428,PAINTER,"Construction, repair and maintenance of residences and general construction work",Construction
429,PAINTER AND GILDER,Printing,Printing and journalism
430,PAPER HANGER,"Construction, repair and maintenance of residences and general construction work",Construction
431,PAPER MAKER/MANUFACTURER,Production of chemicals and related production,Manufacturing and mining
432,PARTNER,Undetermined,NA
433,PASTOR,Ministry in other Christian faiths,Faith-related
434,PATTERN MAKER,Garment making,"Leather, textiles, garments"
435,PAVER,"Construction, repair and maintenance of residences and general construction work",Construction
436,PAWN BROKER,Commercial brokerage services,Trade and commerce
437,PEASANT,Agriculture,Agriculture
438,PEDDLER,Trade overall,Trade and commerce
439,PENSIONER,"Subsisting at expense of public treasury, social institutions and private individuals",No occupation
440,PERFUMER,Production of chemicals and related production,Manufacturing and mining
441,PHARMACIST,Medical and health services,Service and hospitality
442,PHILOSOPHER,"Science, literature, and art","Education, sciences"
443,PHOTOGRAPHER,Printing,Printing and journalism
444,PIANIST,"Science, literature, and art","Arts, entertainment, sports"
445,PIANO MAKER/MANUFACTURER,Manufacture of carriages and construction of wooden vessels,Manufacturing and mining
446,PIANO TUNER,"Science, literature, and art","Arts, entertainment, sports"
447,PIPE LAYER,"Construction, repair and maintenance of residences and general construction work",Construction
448,PIPE MAKER,Manufacture not included in above or undetermined,Manufacturing and mining
449,PIPER,"Science, literature, and art","Arts, entertainment, sports"
450,PLAITER,Garment making,"Leather, textiles, garments"
451,PLANER,Processing of wood,Manufacturing and mining
452,PLANTER,Agriculture,Agriculture
453,PLASTERER,"Construction, repair and maintenance of residences and general construction work",Construction
454,PLATE LAYER,Railroads,Transportation and communication
455,PLATE WORKER,Processing of metals,Manufacturing and mining
456,PLOW HOLDER,Agriculture,Agriculture
457,PLUMBER,"Construction, repair and maintenance of residences and general construction work",Construction
458,"POINT CUTTER, POINTER","Construction, repair and maintenance of residences and general construction work",Construction
459,POLICEMAN,"Administration, courts and police",Government
460,PORTER,Other overland transport and means of transport,Transportation and communication
461,PORTMANTEAU MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining
462,PORTRAIT PAINTER,"Science, literature, and art","Arts, entertainment, sports"
463,POST OFFICER,Carrier trade,Transportation and communication
464,"POTTER, POT MAKER",Manufacture of carriages and construction of wooden vessels,Manufacturing and mining
465,PREACHER,Ministry in other Christian faiths,Faith-related
466,PRESIDENT,"Administration, courts and police",Government
467,PRESSER,Printing,Printing and journalism
468,PRESSMAN,Printing,Printing and journalism
469,PRIEST,Ministry in other Christian faiths,Faith-related
470,PRINT DYER,Printing,Printing and journalism
471,PRINT WORKER,Printing,Printing and journalism
472,PRINTER,Printing,Printing and journalism
473,PRIVATE MAN,"Private activity and service; servants, day laborers",Estate and household labor
474,PRIVATE WOMAN,"Private activity and service; servants, day laborers",Estate and household labor
475,PRIVATEER,Armed forces,Government
476,PROFESSIONAL,Undetermined,NA
477,PROFESSOR,Education services,"Education, sciences"
478,PROPRIETOR,Undetermined,NA
479,PUBLICAN,"Inns, hotels, rooming houses and clubs",Service and hospitality
480,PUBLISHER,"Trade in articles of luxury, science, art, culture, etc.",Trade and commerce
481,PURSE MAKER,Garment making,"Leather, textiles, garments"
482,PURSER,Other overland transport and means of transport,Transportation and communication
483,PUTTER,Undetermined,NA
484,QUARRYMAN,Mining and quarrying,Manufacturing and mining
485,QUAY WORKER,Water transport,Transportation and communication
486,RABBI,Ministry in non-Christian faiths,Faith-related
487,RAILROAD WORKER,Railroads,Transportation and communication
488,RAILWAY OFFICER,Railroads,Transportation and communication
489,RANGER,"Forestry, forest industries",Agriculture
490,REAL ESTATE AGENT,Credit and public commercial institutions,Trade and commerce
491,REFG,Undetermined,NA
492,REFINER,Smelting of metals,Manufacturing and mining
493,RELIGIOUS,"Officials at churches, mosques, synagogues, prayer houses, cemetaries, etc., their servants and caretakers",Faith-related
494,RENTER,Agriculture,Agriculture
495,RENTIER,Agriculture,Agriculture
496,REPORTER,"Science, literature, and art",Printing and journalism
497,RESTAURANT KEEPER/OWNER,"Inns, hotels, rooming houses and clubs",Service and hospitality
498,RIGGER,Water transport,Transportation and communication
499,RIVETER,Processing of metals,Manufacturing and mining
500,"ROOFER, ROOF MAKER","Construction, repair and maintenance of residences and general construction work",Construction
501,ROPE MAKER,Manufacture not included in above or undetermined,Manufacturing and mining
502,SADDLE MAKER,Processing of animal products,Manufacturing and mining
503,SADDLER,Processing of animal products,Manufacturing and mining
504,SAIL MAKER,Manufacture not included in above or undetermined,Manufacturing and mining
505,SAILOR,Water transport,Transportation and communication
506,"SALESMAN, SALESPERSON",Trade overall,Trade and commerce
507,SALON KEEPER,"Inns, hotels, rooming houses and clubs",Service and hospitality
508,SALTER,Trade in other articles,Trade and commerce
509,SATTLER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining
510,"SAW MAKER, SAW FILER",Processing of metals,Manufacturing and mining
511,SAW MILL WORKER,Manufacture not included in above or undetermined,Manufacturing and mining
512,SAWER,Processing of wood,Manufacturing and mining
513,SCALE MAKER,Manufacture not included in above or undetermined,Manufacturing and mining
514,SCHOLAR,Education services,"Education, sciences"
515,SCHOOL MASTER,Education services,"Education, sciences"
516,SCOURER,"Private activity and service; servants, day laborers",Estate and household labor
517,"SCRIBBLER, SCRIPTWRITER","Science, literature, and art","Arts, entertainment, sports"
518,"SCULPTOR, SCULPTURER","Science, literature, and art","Arts, entertainment, sports"
519,SEAMAN,Water transport,Transportation and communication
520,SEAMSTRESS,Processing of fibrous materials,"Leather, textiles, garments"
521,SECRETARY,"Private activity and service; servants, day laborers",Estate and household labor
522,SEMINARIAN,Ministry in other Christian faiths,Faith-related
523,SENATOR,"Administration, courts and police",Government
524,"SERVANT, GENTLEMAN'S SERVANT","Private activity and service; servants, day laborers",Estate and household labor
525,SETMAKER,Processing of metals,Manufacturing and mining
526,SETTLER,Agriculture,Agriculture
527,SHAVER,Establishments providing bathing and personal hygiene services,Service and hospitality
528,SHEARER,Processing of animal products,"Leather, textiles, garments"
529,SHEPHERD,Livestock farming,Agriculture
530,SHINER,"Distilling, brewing and honey fermenting",Production of food and drink
531,SHINGLER,"Construction, repair and maintenance of residences and general construction work",Construction
532,SHIP BROKER,Water transport,Transportation and communication
533,"SHIP BUILDER, SHIP MAKER",Processing of metals,Manufacturing and mining
534,SHIP CARPENTER,Processing of metals,Manufacturing and mining
535,SHIP CHANDLER,Water transport,Transportation and communication
536,SHIPPING WORKER,Water transport,Transportation and communication
537,SHIRT MAKER,Garment making,"Leather, textiles, garments"
538,SHOE MANUFACTURER,Garment making,"Leather, textiles, garments"
539,SHOEMAKER,Garment making,"Leather, textiles, garments"
540,SHOP APRENTICE,Trade overall,Trade and commerce
541,SHOP ASSISTANT,Trade overall,Trade and commerce
542,SHOP KEEPER,Trade overall,Trade and commerce
543,SHOPMAN,Trade overall,Trade and commerce
544,SHOWMAN,"Science, literature, and art","Arts, entertainment, sports"
545,SHPC,Undetermined,NA
546,SILK DYER,Processing of fibrous materials,"Leather, textiles, garments"
547,SILK TWISTER,Processing of fibrous materials,"Leather, textiles, garments"
548,SILK WEAVER,Processing of fibrous materials,"Leather, textiles, garments"
549,SILK WORKER,Processing of fibrous materials,"Leather, textiles, garments"
550,SILVERSMITH,Processing of metals,Manufacturing and mining
551,SINGER,"Science, literature, and art","Arts, entertainment, sports"
552,SISTER OF MERCY,Ministry in other Christian faiths,Faith-related
553,SKIN DRESSER,Processing of animal products,"Leather, textiles, garments"
554,SKINNER,"Trade in leather, fur, etc.",Trade and commerce
555,SLATER,"Construction, repair and maintenance of residences and general construction work",Construction
556,SLEIGH MAKER,Manufacture of carriages and construction of wooden vessels,Manufacturing and mining
557,SLIPPER MAKER,Garment making,"Leather, textiles, garments"
558,SMITH,Manufacture not included in above or undetermined,Manufacturing and mining
559,SOAP BOILER,Production of chemicals and related production,Manufacturing and mining
560,SOAP DEALER,Trade in other articles,Trade and commerce
561,SOAP MAKER/MANUFACTURER,Production of chemicals and related production,Manufacturing and mining
562,SOLDIER,Armed forces,Government
563,SPADE MAKER,Processing of metals,Manufacturing and mining
564,SPINDLE MAKER,Processing of metals,Manufacturing and mining
565,SPINNER,Processing of fibrous materials,"Leather, textiles, garments"
566,SPOON MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining
567,STABLEMAN/OSTLER,"Inns, hotels, rooming houses and clubs",Service and hospitality
568,STAMP MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining
569,STATIONER,Trade in other articles,Trade and commerce
570,STATUARY,"Science, literature, and art","Arts, entertainment, sports"
571,STEWARD,"Private activity and service; servants, day laborers",Estate and household labor
572,STICK MAKER,Processing of wood,Manufacturing and mining
573,STOCKING MENDER,Garment making,"Leather, textiles, garments"
574,STOCKING WEAVER,Garment making,"Leather, textiles, garments"
575,STONE CUTTER,Processing of mineral substances (ceramics),Manufacturing and mining
576,STONE MASON,Processing of mineral substances (ceramics),Manufacturing and mining
577,STONER,Processing of mineral substances (ceramics),Manufacturing and mining
578,STORE CLERK,Trade overall,Trade and commerce
579,STORE KEEPER,Trade overall,Trade and commerce
580,STRAP PRESSER,"Private activity and service; servants, day laborers",Estate and household labor
581,STRAW WORKER,"Construction, repair and maintenance of residences and general construction work",Construction
582,STRIKER,Processing of metals,Manufacturing and mining
583,STUDENT/SCHOLASTIC,Education services,"Education, sciences"
584,SUGAR BOILER,Processing of plant and animal food products,Production of food and drink
585,SUGAR MAKER,Processing of plant and animal food products,Production of food and drink
586,SUGAR REFINER,Processing of plant and animal food products,Production of food and drink
587,SURGEON,Medical and health services,Service and hospitality
588,SWEEPER,"Construction, repair and maintenance of residences and general construction work",Construction
589,T,Undetermined,NA
590,TABLE MAKER,Processing of wood,Manufacturing and mining
591,TAILOR,Garment making,"Leather, textiles, garments"
592,TANNER,Processing of plant and animal food products,"Leather, textiles, garments"
593,TAPE MAKER,Processing of fibrous materials,"Leather, textiles, garments"
594,TAPESTRY MAKER,Processing of fibrous materials,"Leather, textiles, garments"
595,TEA DEALER,Trade in other agricultural products,Trade and commerce
596,TEACHER,Education services,"Education, sciences"
597,TECHNICIAN,Manufacture not included in above or undetermined,Manufacturing and mining
598,TELEGRAPHER,"Mail, telegraph, and telephone",Transportation and communication
599,TENOR,"Science, literature, and art","Arts, entertainment, sports"
600,TENTER,Processing of animal products,"Leather, textiles, garments"
601,THATCHER,"Construction, repair and maintenance of residences and general construction work",Construction
602,THEATRICAL AGENT,"Science, literature, and art","Arts, entertainment, sports"
603,THEOLOGIAN,"Science, literature, and art","Education, sciences"
604,THREAD MAKER,Processing of fibrous materials,"Leather, textiles, garments"
605,TILE MAKER,Processing of mineral substances (ceramics),Manufacturing and mining
606,TILER,Processing of mineral substances (ceramics),Manufacturing and mining
607,TIMBER MERCHANT,Trade overall,Trade and commerce
608,TIN MAKER,Processing of metals,Manufacturing and mining
609,TINKER,Processing of metals,Manufacturing and mining
610,TINMAN-IRON WORKER,Processing of metals,Manufacturing and mining
611,TINNER/TINMAN,Processing of metals,Manufacturing and mining
612,TINPLATE WORKER,Processing of metals,Manufacturing and mining
613,TINSMITH,Processing of metals,Manufacturing and mining
614,TLE,Undetermined,NA
615,TOBACCO DEALER/MERCHANT,Tobacco and tobacco products,Production of food and drink
616,TOBACCO MANUFACTURER,Tobacco and tobacco products,Production of food and drink
617,TOBACCO SPINNER,Tobacco and tobacco products,Production of food and drink
618,TOBACCO WORKER,Tobacco and tobacco products,Production of food and drink
619,TOBACCONIST,Tobacco and tobacco products,Production of food and drink
620,TOURIST,Undetermined,NA
621,TRADER,Trade overall,Trade and commerce
622,TRADESMAN,Trade overall,Trade and commerce
623,TRADLER,Trade overall,Trade and commerce
624,TRANSLATOR,Undetermined,Service and hospitality
625,TRAVELER,Undetermined,NA
626,TRIMMER,"Construction, repair and maintenance of residences and general construction work",Construction
627,TRIMMING MAKER,"Construction, repair and maintenance of residences and general construction work",Construction
628,TRUNK MAKER,Manufacture not included in above or undetermined,Manufacturing and mining
629,TRUSS MAKER,Manufacture not included in above or undetermined,Manufacturing and mining
630,TURF CUTTER,Agriculture,Agriculture
631,TURNER,Processing of wood,Manufacturing and mining
632,TUTOR,Education services,"Education, sciences"
633,TWISTER,Processing of fibrous materials,"Leather, textiles, garments"
634,TYPE FOUNDER,Processing of metals,Manufacturing and mining
635,TYPESETTER,Printing,Printing and journalism
636,TYPOGRAPHER,Printing,Printing and journalism
637,UMBRELLA MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining
638,UNKNOWN,Occupation unknown,NA
639,UPHOLSTERER,"Construction, repair and maintenance of residences and general construction work",Construction
640,VALET,"Private activity and service; servants, day laborers",Estate and household labor
641,VELVET WORKER,Processing of fibrous materials,"Leather, textiles, garments"
642,VENDOR,Trade overall,Trade and commerce
643,"VETERINARIAN, COW DOCTOR",Medical and health services,Service and hospitality
644,VINE-DRESSER,Agriculture,Agriculture
645,VINTNER,Agriculture,Agriculture
646,VIOLINIST,"Science, literature, and art","Arts, entertainment, sports"
647,WAGON MAKER,Manufacture of carriages and construction of wooden vessels,Manufacturing and mining
648,WAGONER,Other overland transport and means of transport,Transportation and communication
649,WAITER,"Inns, hotels, rooming houses and clubs",Service and hospitality
650,WAITRESS,"Inns, hotels, rooming houses and clubs",Service and hospitality
651,WARPER,Processing of fibrous materials,"Leather, textiles, garments"
652,WASHER,"Private activity and service; servants, day laborers",Estate and household labor
653,WATCHGLASS MAKER,Processing of mineral substances (ceramics),Manufacturing and mining
654,WATCHMAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining
655,WATCHMAN,"Private activity and service; servants, day laborers",Estate and household labor
656,WATERMAN,Water transport,Transportation and communication
657,WATERPROOFER,"Construction, repair and maintenance of residences and general construction work",Construction
658,WEAVER,Processing of fibrous materials,"Leather, textiles, garments"
659,WEIGHER,Railroads,Transportation and communication
660,WHEELER,Processing of wood,Manufacturing and mining
661,WHEELWRIGHT,Processing of wood,Manufacturing and mining
662,WIG MAKER,Garment making,"Leather, textiles, garments"
663,WINDER,Processing of metals,Manufacturing and mining
664,WINE MERCHANT,Drinking establishments,Service and hospitality
665,WINE PORTER,Drinking establishments,Service and hospitality
666,WIRE MAKER,Processing of metals,Manufacturing and mining
667,WIRE WORKER,Processing of metals,Manufacturing and mining
668,WOOD BURNER,Processing of wood,Manufacturing and mining
669,WOOD CARVER,Processing of wood,Manufacturing and mining
670,WOOD CORDER,Processing of wood,Manufacturing and mining
671,WOOD CUTTER,Processing of wood,Manufacturing and mining
672,WOOD MAN,Processing of wood,Manufacturing and mining
673,WOOD TURNER,Processing of wood,Manufacturing and mining
674,WOOL MERCHANT,Trade in fabrics and garments,Trade and commerce
675,WOOL SPINNER,Processing of fibrous materials,"Leather, textiles, garments"
676,WRIGHT,Manufacture not included in above or undetermined,Manufacturing and mining
677,WRITER,"Science, literature, and art","Arts, entertainment, sports"
678,WRITING MASTER,"Science, literature, and art","Education, sciences"
679,YEAST MAKER,Other beverages and fermented substances,Production of food and drink
680,NO DATA,Occupation unknown,NA
681,FAMILY RELATIONSHIP DATA,"No occupation given, family relationship specified instead",No occupation
